Quarter,INDINF_OUTGAPMPR_Q,INDINF_OUTGAPR_Q,INDINF_OUTGAPI_Q,INDINF_OUTGAPM_Q,INDINF_GRACE_Q,INDINF_FAM_WIOD_Q,Housing Start,INDINF_SLSALLSEC_Q,INDINF_BOS_LSI_Q,INDINF_LMI_Q,INDINF_CPI_Q,INDINF_CPI_TRIM_Q,INDINF_CPI_MEDIAN_Q,INDINF_CPI_COMMON_Q,INDINF_LFSWC_Q,INDINF_NACWC_Q,INDINF_PAWC_Q,INDINF_SEPHWC_Q,INDINF_WC_Q,INDINF_NHPI_Q,INDINF_AFFORD,INDINF_FOURORMORE_Q,INDINF_ONEORLESS_Q,INDINF_THREEORLESS_Q,INDINF_TWOORLESS_Q,INDINF_ROS1TO2_Q,INDINF_ROS2TO3_Q,INDINF_ROSBELOW1_Q,INDINF_ROSOVER3_Q,INDINF_EXPECTSIXTEN_Q,INDINF_EXPECTTWOTHREE_Q,INDINF_INFEXP_BOND_Q,10 Year Bond
1981Q1,3.2,,3.7,2.8,,,,,,,,,,,,,,,,,0.498,,,,,,,,,,,,13.16333333
1981Q2,3.5,,3.9,3.3,,,,,,,,,,,,,,,,,0.552,,,,,,,,,,,,14.78333333
1981Q3,1.9,,2,1.8,,,,,,,,,,,,,,,,,0.646,,,,,,,,,,,,16.44666667
1981Q4,0.7,,0.7,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,15.56333333
1982Q1,-1.2,,-1.3,-1,,,,,,,,,,,,,,,,,0.563,,,,,,,,,,,,15.47666667
1982Q2,-3,,-3.2,-2.8,,,,,,,,,,,,,,,,,0.553,,,,,,,,,,,,15.19666667
1982Q3,-4.6,,-4.7,-4.2,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,15.017
1982Q4,-6.2,,-6.3,-5.7,,,,,,,,,,,,,,,,,0.433,,,,,,,,,,,,12.051
1983Q1,-5.2,,-5.5,-4.8,,,,,,,,,,,,,,,,,0.392,,,,,,,,,,,,11.32783333
1983Q2,-4,,-4.3,-3.5,,,,,,,,,,,,,,,,,0.392,,,,,,,,,,,,10.94116667
